Number,lat,lon,ele,time,AQI,GSR
193,51.5304758,0.002078124,9.149742275,14:36:54,89,270
194,51.53048781,0.002003751,9.597479115,14:36:58,91,270
195,51.53048913,0.001927556,10.52183256,14:37:02,87,265
196,51.5305012,0.001851491,10.07121868,14:37:07,82,269
197,51.53052519,0.001775616,9.822894032,14:37:12,78,272
198,51.53054354,0.001707053,9.829609012,14:37:17,79,273
199,51.53057058,0.001635666,9.583938305,14:37:22,80,278
200,51.53059263,0.001568094,8.957255006,14:37:27,83,274
201,51.53061513,0.001501458,9.197135321,14:37:31,78,272
202,51.53063478,0.001432111,8.26151017,14:37:36,77,269
203,51.53064829,0.001362827,8.705255996,14:37:40,73,267
204,51.53065577,0.001286758,6.701135709,14:37:44,71,263
205,51.53064053,0.00121576,6.639721919,14:37:53,75,268
206,51.53063134,0.001134062,6.606105954,14:38:01,72,265
207,51.53063539,0.001061407,6.320284711,14:38:35,71,265
208,51.53064988,0.000978449,5.92475459,14:38:44,73,261
209,51.53066546,0.000909006,6.374730845,14:38:49,77,260
210,51.53069265,0.000834641,6.81189709,14:38:55,75,264
211,51.53072427,0.00078146,6.686527623,14:38:59,70,263
212,51.53074587,0.000701385,7.428340836,14:39:04,70,262
213,51.53076692,0.000623574,7.528086653,14:39:09,70,262
214,51.53078265,0.000539396,7.358527297,14:39:14,71,265
215,51.53077609,0.000464215,6.640161396,14:39:19,71,270
216,51.53075305,0.000390614,5.461805945,14:39:25,73,265
217,51.53071939,0.000335296,6.779571615,14:39:30,77,267
218,51.53067404,0.000309769,6.978583847,14:39:35,80,262
219,51.53063013,0.000278822,7.222639117,14:39:40,78,263
220,51.53058138,0.000244941,8.061343381,14:39:45,75,267
221,51.53053091,0.000213492,7.534485543,14:39:56,78,268
222,51.53048603,0.000180964,8.309125908,14:40:00,74,271
223,51.53043983,0.00014417,8.039107913,14:40:05,71,268
224,51.53039395,0.00011204,7.562142079,14:40:10,70,266
225,51.53034418,8.24431E-05,7.492172332,14:40:15,74,270
226,51.53029338,6.08811E-05,7.981173392,14:40:20,78,270
227,51.53024332,3.2107E-05,8.207730165,14:40:25,74,274
228,51.53019379,4.77829E-06,7.262897429,14:40:36,75,271
229,51.53014459,-2.43E-05,7.413614603,14:40:41,70,266
230,51.53009912,-6.49E-05,6.742978242,14:40:46,70,264
231,51.53005863,-0.000100457,6.915217108,14:40:50,70,269
232,51.53001689,-0.000134077,7.500309358,14:40:54,75,269
233,51.52996649,-0.000156799,6.756190392,14:40:59,70,266
234,51.52991462,-0.000186988,6.483830186,14:41:04,70,264
235,51.52986639,-0.000213219,6.135007281,14:41:09,70,267
236,51.52981496,-0.000248139,7.104628372,14:41:14,74,265
237,51.5297718,-0.00027456,7.33083792,14:41:18,71,262
238,51.52972812,-0.000308212,7.331296735,14:41:23,76,262
239,51.52968289,-0.000346061,6.7744612,14:41:33,73,262
240,51.52972047,-0.000304416,8.627679089,14:41:57,70,259
241,51.52974984,-0.000243815,7.554005683,14:42:03,75,261
242,51.52974445,-0.000170665,6.49443049,14:42:18,77,263
243,51.5297086,-0.000112561,5.782873047,14:42:25,82,265
244,51.52965839,-8.91E-05,5.813848724,14:42:31,84,269
245,51.52961828,-0.000141628,5.455607524,14:42:36,85,272
246,51.52957701,-0.000181753,5.180573932,14:42:41,85,268
247,51.52953243,-0.000229756,4.971820067,14:42:47,80,270
248,51.52949731,-0.000288101,5.915766224,14:42:52,80,270
249,51.52946111,-0.000335983,5.449352552,14:42:56,78,265
250,51.52942161,-0.000401994,4.616130716,14:43:00,79,269
251,51.52937949,-0.000443633,4.678651527,14:43:05,83,273
252,51.5293361,-0.000463186,4.827088295,14:43:10,79,273
253,51.52929291,-0.000489071,4.705158986,14:43:14,75,274
254,51.52924565,-0.000496873,4.059804718,14:43:20,76,273
255,51.52919262,-0.000501231,4.222702302,14:43:25,78,271
256,51.52914491,-0.000496501,4.962968065,14:43:29,82,268
257,51.52909999,-0.000512464,5.448363826,14:43:33,86,265
258,51.5290472,-0.000543297,5.581746195,14:43:39,89,269
259,51.5290068,-0.000590891,4.775913485,14:43:45,94,272
260,51.52896393,-0.000613966,5.281811268,14:43:49,93,269
261,51.52891843,-0.000655331,4.803203419,14:43:56,93,268
262,51.52888011,-0.000694337,4.696818639,14:43:59,90,263
263,51.52883563,-0.00071922,4.00169311,14:44:04,88,264
264,51.52878991,-0.000766487,4.25606226,14:44:09,90,268
265,51.52874877,-0.000818773,4.250142111,14:44:14,86,264
266,51.52870564,-0.00087836,4.476208658,14:44:19,90,268
267,51.52866431,-0.000922335,4.192423656,14:44:22,88,265
268,51.52863314,-0.000979185,4.419853934,14:44:29,89,268
269,51.52857131,-0.001021423,4.538809625,14:44:35,90,266
270,51.52852438,-0.001066883,4.92832127,14:44:39,87,270
271,51.52847522,-0.0010983,5.184846045,14:44:45,92,269
272,51.52843094,-0.001133755,4.544942148,14:44:50,91,266
273,51.52838825,-0.001171362,4.841553994,14:44:53,92,267
274,51.52833507,-0.001230077,4.982097002,14:44:59,87,268
275,51.52828546,-0.001276314,5.257703783,14:45:03,89,265
276,51.5282417,-0.001332681,5.190530935,14:45:10,87,266
277,51.52818798,-0.001377633,5.994489957,14:45:15,88,264
278,51.52814615,-0.001407401,5.84066956,14:45:19,93,265
279,51.52811336,-0.001458233,5.928922444,14:45:23,88,270
280,51.52807536,-0.001498522,5.077291758,14:45:28,86,270
281,51.52803609,-0.001536067,5.40945587,14:45:32,85,272
282,51.52799753,-0.001581079,5.253881305,14:45:36,83,277
283,51.52795392,-0.001627249,4.607752122,14:45:48,85,279
284,51.52791109,-0.001675962,5.169220268,14:45:53,86,280
285,51.52787997,-0.00174449,5.600923726,14:45:58,90,280
286,51.52783963,-0.001805911,5.198271149,14:46:03,91,275
287,51.52779675,-0.001853271,5.35615594,14:46:08,94,277
288,51.52775276,-0.001894973,5.671648078,14:46:13,97,279
289,51.52770609,-0.001923236,5.600246669,14:46:16,102,276
